0d6:
2d10, Doubles: 9%, 2x Doubles: 0%, 3x Doubles: 0%, Triples: 0%, 2x Triples: 0%, Quadruples: 0%, Quintuples: 0%
4d6:
0d10, Doubles: 72%, 2x Doubles: 7%, 3x Doubles: 0%, Triples: 10%, 2x Triples: 0%, Quadruples: 1%, Quintuples: 0%
1d10, Doubles: 83%, 2x Doubles: 19%, 3x Doubles: 0%, Triples: 17%, 2x Triples: 0%, Quadruples: 1%, Quintuples: 0%
2d10, Doubles: 91%, 2x Doubles: 36%, 3x Doubles: 2%, Triples: 25%, 2x Triples: 0%, Quadruples: 3%, Quintuples: 0%
3d10, Doubles: 96%, 2x Doubles: 55%, 3x Doubles: 7%, Triples: 35%, 2x Triples: 1%, Quadruples: 5%, Quintuples: 0%
4d10, Doubles: 99%, 2x Doubles: 72%, 3x Doubles: 19%, Triples: 45%, 2x Triples: 3%, Quadruples: 8%, Quintuples: 1%
5d10, Doubles: >99.5%, 2x Doubles: 85%, 3x Doubles: 35%, Triples: 56%, 2x Triples: 6%, Quadruples: 12%, Quintuples: 2%
6d10, Doubles: >99.5%, 2x Doubles: 92%, 3x Doubles: 53%, Triples: 66%, 2x Triples: 12%, Quadruples: 17%, Quintuples: 3%
7d10, Doubles: >99.5%, 2x Doubles: 97%, 3x Doubles: 69%, Triples: 75%, 2x Triples: 20%, Quadruples: 23%, Quintuples: 4%
8d10, Doubles: >99.5%, 2x Doubles: 99%, 3x Doubles: 81%, Triples: 83%, 2x Triples: 30%, Quadruples: 29%, Quintuples: 6%

5d6:
0d10, Doubles: 91%, 2x Doubles: 27%, 3x Doubles: 0%, Triples: 21%, 2x Triples: 0%, Quadruples: 2%, Quintuples: 0%
1d10, Doubles: 95%, 2x Doubles: 44%, 3x Doubles: 2%, Triples: 31%, 2x Triples: 0%, Quadruples: 4%, Quintuples: 0%
2d10, Doubles: 98%, 2x Doubles: 62%, 3x Doubles: 9%, Triples: 41%, 2x Triples: 2%, Quadruples: 7%, Quintuples: 1%
3d10, Doubles: 99%, 2x Doubles: 77%, 3x Doubles: 22%, Triples: 51%, 2x Triples: 4%, Quadruples: 10%, Quintuples: 1%
4d10, Doubles: >99.5%, 2x Doubles: 87%, 3x Doubles: 38%, Triples: 61%, 2x Triples: 8%, Quadruples: 15%, Quintuples: 2%
5d10, Doubles: >99.5%, 2x Doubles: 94%, 3x Doubles: 56%, Triples: 71%, 2x Triples: 14%, Quadruples: 20%, Quintuples: 3%
6d10, Doubles: >99.5%, 2x Doubles: 97%, 3x Doubles: 71%, Triples: 79%, 2x Triples: 23%, Quadruples: 26%, Quintuples: 5%
7d10, Doubles: >99.5%, 2x Doubles: 99%, 3x Doubles: 83%, Triples: 86%, 2x Triples: 33%, Quadruples: 33%, Quintuples: 7%
8d10, Doubles: >99.5%, 2x Doubles: >99.5%, 3x Doubles: 90%, Triples: 91%, 2x Triples: 45%, Quadruples: 40%, Quintuples: 10%
